2022-03-15 17:43:18.082 | INFO     | __main__:register:291 - Projector2: 16, 16, in_dim=256, out_dim=1024, latent_dim=800, dual_type=small, pe_required=False
2022-03-15 17:43:18.084 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 17:43:40.498 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_2.pth
2022-03-15 17:43:40.517 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_3.pth
2022-03-15 17:43:40.541 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_4.pth
2022-03-15 17:44:04.078 | INFO     | __main__:train:374 - Epoch-0, carrot | all: 0.64450, 0.86909 | 2: 0.48569, 0.94611| 3: 0.50575, 0.95364 | 4: 0.58670, 0.73881
2022-03-15 17:50:31.085 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_2.pth
2022-03-15 17:50:31.104 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_3.pth
2022-03-15 17:50:31.128 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_4.pth
2022-03-15 17:50:54.690 | INFO     | __main__:train:374 - Epoch-20, carrot | all: 0.67480, 0.98852 | 2: 0.60466, 0.98580| 3: 0.70286, 0.98806 | 4: 0.69501, 0.97137
2022-03-15 17:57:21.492 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_2.pth
2022-03-15 17:57:21.512 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_3.pth
2022-03-15 17:57:21.537 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_4.pth
2022-03-15 17:57:45.046 | INFO     | __main__:train:374 - Epoch-40, carrot | all: 0.80920, 0.99169 | 2: 0.69136, 0.98887| 3: 0.76319, 0.99109 | 4: 0.80107, 0.98036
2022-03-15 18:04:11.868 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_2.pth
2022-03-15 18:04:11.887 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_3.pth
2022-03-15 18:04:11.911 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_4.pth
2022-03-15 18:04:35.508 | INFO     | __main__:train:374 - Epoch-60, carrot | all: 0.88805, 0.99304 | 2: 0.71549, 0.99092| 3: 0.87346, 0.99378 | 4: 0.81734, 0.97787
2022-03-15 18:11:02.411 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_2.pth
2022-03-15 18:11:02.429 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_3.pth
2022-03-15 18:11:02.456 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_4.pth
2022-03-15 18:11:26.035 | INFO     | __main__:train:374 - Epoch-80, carrot | all: 0.89113, 0.99346 | 2: 0.75196, 0.99229| 3: 0.87037, 0.99326 | 4: 0.80051, 0.96862
2022-03-15 18:17:33.443 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_2.pth
2022-03-15 18:17:33.461 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_3.pth
2022-03-15 18:17:33.487 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/carrot_4.pth
2022-03-15 18:20:20.062 | INFO     | __main__:<module>:731 - carrot, add, image auc: 0.88272, pixel auc: 0.99339, pixel pro0.3: 0.97910
2022-03-15 18:20:20.064 | INFO     | __main__:<module>:733 - carrot, time: 0.01827s, FPS: 54.72915.
2022-03-15 18:20:20.719 | INFO     | __main__:__init__:253 - resnet34-resnet50-[64, 128, 256]-[256, 512, 1024]-[200, 400, 800]
2022-03-15 18:20:20.721 | INFO     | __main__:register:282 - Projector2: 64, 64, in_dim=64, out_dim=256, latent_dim=200, dual_type=small, pe_required=False
2022-03-15 18:20:20.737 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 18:20:20.745 | INFO     | __main__:register:287 - Projector2: 32, 32, in_dim=128, out_dim=512, latent_dim=400, dual_type=small, pe_required=False
2022-03-15 18:20:20.747 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 18:20:20.768 | INFO     | __main__:register:291 - Projector2: 16, 16, in_dim=256, out_dim=1024, latent_dim=800, dual_type=small, pe_required=False
2022-03-15 18:20:20.769 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 18:20:34.881 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_2.pth
2022-03-15 18:20:34.900 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_3.pth
2022-03-15 18:20:34.924 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_4.pth
2022-03-15 18:20:52.922 | INFO     | __main__:train:374 - Epoch-0, cookie | all: 0.29577, 0.87082 | 2: 0.24549, 0.84216| 3: 0.47816, 0.89330 | 4: 0.57316, 0.76270
2022-03-15 18:24:54.164 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_2.pth
2022-03-15 18:24:54.182 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_3.pth
2022-03-15 18:24:54.210 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_4.pth
2022-03-15 18:25:12.105 | INFO     | __main__:train:374 - Epoch-20, cookie | all: 0.59882, 0.97760 | 2: 0.40673, 0.91801| 3: 0.60437, 0.96090 | 4: 0.54854, 0.96509
2022-03-15 18:29:14.008 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_2.pth
2022-03-15 18:29:14.026 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_3.pth
2022-03-15 18:29:14.051 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_4.pth
2022-03-15 18:29:31.938 | INFO     | __main__:train:374 - Epoch-40, cookie | all: 0.64320, 0.97946 | 2: 0.41921, 0.92914| 3: 0.62933, 0.96219 | 4: 0.61234, 0.96241
2022-03-15 18:33:33.675 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_2.pth
2022-03-15 18:33:33.694 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_3.pth
2022-03-15 18:33:33.718 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_4.pth
2022-03-15 18:33:51.492 | INFO     | __main__:train:374 - Epoch-60, cookie | all: 0.63974, 0.98110 | 2: 0.40742, 0.93523| 3: 0.58946, 0.96332 | 4: 0.64736, 0.96441
2022-03-15 18:37:53.164 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_2.pth
2022-03-15 18:37:53.183 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_3.pth
2022-03-15 18:37:53.208 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_4.pth
2022-03-15 18:38:11.034 | INFO     | __main__:train:374 - Epoch-80, cookie | all: 0.61546, 0.97736 | 2: 0.45631, 0.93831| 3: 0.59986, 0.94880 | 4: 0.66436, 0.95990
2022-03-15 18:42:00.704 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_2.pth
2022-03-15 18:42:00.722 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_3.pth
2022-03-15 18:42:00.746 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cookie_4.pth
2022-03-15 18:44:22.131 | INFO     | __main__:<module>:731 - cookie, add, image auc: 0.61338, pixel auc: 0.97526, pixel pro0.3: 0.86474
2022-03-15 18:44:22.133 | INFO     | __main__:<module>:733 - cookie, time: 0.01835s, FPS: 54.50244.
2022-03-15 18:44:22.791 | INFO     | __main__:__init__:253 - resnet34-resnet50-[64, 128, 256]-[256, 512, 1024]-[200, 400, 800]
2022-03-15 18:44:22.793 | INFO     | __main__:register:282 - Projector2: 64, 64, in_dim=64, out_dim=256, latent_dim=200, dual_type=small, pe_required=False
2022-03-15 18:44:22.809 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 18:44:22.817 | INFO     | __main__:register:287 - Projector2: 32, 32, in_dim=128, out_dim=512, latent_dim=400, dual_type=small, pe_required=False
2022-03-15 18:44:22.818 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 18:44:22.839 | INFO     | __main__:register:291 - Projector2: 16, 16, in_dim=256, out_dim=1024, latent_dim=800, dual_type=small, pe_required=False
2022-03-15 18:44:22.840 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 18:44:40.266 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_2.pth
2022-03-15 18:44:40.284 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_3.pth
